n1_CLL	n2_CLL	cosine_distance
CVCL_0002	CVCL_0007	0.1559
CVCL_0002	CVCL_0064	0.1553
CVCL_0002	CVCL_0258	0.1549
CVCL_0002	CVCL_0614	0.1479
CVCL_0002	CVCL_1071	0.1601
CVCL_0002	CVCL_1425	0.1643
CVCL_0002	CVCL_2071	0.1665
CVCL_0002	CVCL_2119	0.1536
CVCL_0002	CVCL_2122	0.1731
CVCL_0002	CVCL_2162	0.1370
CVCL_0002	CVCL_2196	0.1403
CVCL_0004	CVCL_0216	0.3398
CVCL_0004	CVCL_0379	0.3668
CVCL_0004	CVCL_2037	0.3914
CVCL_0004	CVCL_2106	0.3347
CVCL_0004	CVCL_2119	0.3882
CVCL_0004	CVCL_2120	0.4014
CVCL_0004	CVCL_2122	0.3941
CVCL_0004	CVCL_2149	0.3723
CVCL_0004	CVCL_2162	0.4073
CVCL_0004	CVCL_2196	0.3778
CVCL_0004	CVCL_3043	0.3696
CVCL_0006	CVCL_0064	0.2627
CVCL_0006	CVCL_0258	0.2709
CVCL_0006	CVCL_0614	0.2696
CVCL_0006	CVCL_1071	0.2844
CVCL_0006	CVCL_1425	0.2549
CVCL_0006	CVCL_1619	0.2584
CVCL_0006	CVCL_1620	0.2425
CVCL_0006	CVCL_1694	0.2807
CVCL_0006	CVCL_2119	0.2622
CVCL_0006	CVCL_2122	0.2716
CVCL_0006	CVCL_2196	0.2806
CVCL_0007	CVCL_0002	0.1559
CVCL_0007	CVCL_0064	0.1530
CVCL_0007	CVCL_0258	0.1309
CVCL_0007	CVCL_0614	0.1387
CVCL_0007	CVCL_1071	0.1441
CVCL_0007	CVCL_1425	0.1554
CVCL_0007	CVCL_1619	0.1570
CVCL_0007	CVCL_2119	0.1537
CVCL_0007	CVCL_2122	0.1501
CVCL_0007	CVCL_2162	0.1381
CVCL_0007	CVCL_2196	0.1452
CVCL_0008	CVCL_0511	0.0743
CVCL_0008	CVCL_0539	0.0604
CVCL_0008	CVCL_1087	0.0767
CVCL_0008	CVCL_1088	0.0591
CVCL_0008	CVCL_1101	0.0693
CVCL_0008	CVCL_1168	0.0754
CVCL_0008	CVCL_1222	0.0755
CVCL_0008	CVCL_1399	0.0737
CVCL_0008	CVCL_1660	0.0689
CVCL_0008	CVCL_1877	0.0683
CVCL_0008	CVCL_2027	0.0677
CVCL_0009	CVCL_1280	0.2531
CVCL_0009	CVCL_1319	0.2741
CVCL_0009	CVCL_1361	0.2457
CVCL_0009	CVCL_1414	0.2837
CVCL_0009	CVCL_2096	0.2569
CVCL_0009	CVCL_2541	0.2844
CVCL_0009	CVCL_2889	0.2429
CVCL_0009	CVCL_8796	0.2297
CVCL_0009	CVCL_8797	0.2551
CVCL_0009	CVCL_H614	0.2746
CVCL_0009	CVCL_H637	0.2245
CVCL_0012	CVCL_0707	0.3657
CVCL_0012	CVCL_0846	0.4060
CVCL_0012	CVCL_0878	0.3492
CVCL_0012	CVCL_0888	0.3398
CVCL_0012	CVCL_0928	0.3601
CVCL_0012	CVCL_0933	0.3392
CVCL_0012	CVCL_1062	0.3908
CVCL_0012	CVCL_1232	0.4066
CVCL_0012	CVCL_2123	0.2000
CVCL_0012	CVCL_2182	0.3925
CVCL_0012	CVCL_2992	0.4046
CVCL_0014	CVCL_0511	0.1982
CVCL_0014	CVCL_1087	0.1935
CVCL_0014	CVCL_1222	0.1963
CVCL_0014	CVCL_1334	0.1928
CVCL_0014	CVCL_1823	0.1884
CVCL_0014	CVCL_1877	0.1824
CVCL_0014	CVCL_1889	0.1991
CVCL_0014	CVCL_2030	0.1986
CVCL_0014	CVCL_2992	0.1949
CVCL_0014	CVCL_2993	0.1927
CVCL_0014	CVCL_5209	0.1698
CVCL_0018	CVCL_1123	0.4485
CVCL_0018	CVCL_1161	0.4378
CVCL_0018	CVCL_1341	0.4522
CVCL_0018	CVCL_1489	0.4435
CVCL_0018	CVCL_1542	0.4351
CVCL_0018	CVCL_1591	0.4276
CVCL_0018	CVCL_1659	0.4104
CVCL_0018	CVCL_1829	0.4268
CVCL_0018	CVCL_1893	0.4166
CVCL_0018	CVCL_2141	0.4485
CVCL_0018	CVCL_2143	0.4555
CVCL_0021	CVCL_0556	0.3288
CVCL_0021	CVCL_0844	0.2966
CVCL_0021	CVCL_1117	0.3400
CVCL_0021	CVCL_1169	0.3403
CVCL_0021	CVCL_1796	0.2810
CVCL_0021	CVCL_2050	0.3132
CVCL_0021	CVCL_3955	0.2752
CVCL_0021	CVCL_3957	0.3060
CVCL_0021	CVCL_5010	0.3202
CVCL_0021	CVCL_5033	0.2750
CVCL_0021	CVCL_5080	0.3392
CVCL_0022	CVCL_0633	0.4087
CVCL_0022	CVCL_0715	0.4675
CVCL_0022	CVCL_0844	0.4504
CVCL_0022	CVCL_0979	0.4557
CVCL_0022	CVCL_1173	0.4479
CVCL_0022	CVCL_1690	0.4488
CVCL_0022	CVCL_2076	0.4524
CVCL_0022	CVCL_3603	0.4512
CVCL_0022	CVCL_5010	0.3657
CVCL_0022	CVCL_5723	0.4606
CVCL_0022	CVCL_A758	0.4368
CVCL_0023	CVCL_0459	0.3954
CVCL_0023	CVCL_1195	0.4061
CVCL_0023	CVCL_1508	0.3434
CVCL_0023	CVCL_1515	0.3562
CVCL_0023	CVCL_2214	0.4033
CVCL_0023	CVCL_2956	0.4094
CVCL_0023	CVCL_2986	0.4358
CVCL_0023	CVCL_5102	0.4101
CVCL_0023	CVCL_5136	0.4081
CVCL_0023	CVCL_M467	0.4363
CVCL_0023	CVCL_V609	0.4460
CVCL_0024	CVCL_1140	0.0901
CVCL_0024	CVCL_1454	0.0765
CVCL_0024	CVCL_1471	0.1132
CVCL_0024	CVCL_1489	0.0990
CVCL_0024	CVCL_1498	0.0904
CVCL_0024	CVCL_1510	0.0845
CVCL_0024	CVCL_1536	0.0960
CVCL_0024	CVCL_1542	0.1079
CVCL_0024	CVCL_1569	0.0989
CVCL_0024	CVCL_1598	0.0841
CVCL_0024	CVCL_2058	0.1136
CVCL_0025	CVCL_0027	0.2921
CVCL_0025	CVCL_0544	0.3104
CVCL_0025	CVCL_0555	0.2897
CVCL_0025	CVCL_0632	0.3011
CVCL_0025	CVCL_1096	0.1339
CVCL_0025	CVCL_1294	0.2901
CVCL_0025	CVCL_1382	0.2885
CVCL_0025	CVCL_1979	0.2709
CVCL_0025	CVCL_2749	0.2820
CVCL_0025	CVCL_4381	0.2891
CVCL_0025	CVCL_5038	0.3112
CVCL_0026	CVCL_1299	0.3554
CVCL_0026	CVCL_1587	0.3779
CVCL_0026	CVCL_1633	0.2836
CVCL_0026	CVCL_1635	0.3652
CVCL_0026	CVCL_1636	0.3162
CVCL_0026	CVCL_1639	0.3567
CVCL_0026	CVCL_1794	0.3888
CVCL_0026	CVCL_3517	0.3479
CVCL_0026	CVCL_5016	0.3930
CVCL_0026	CVCL_5034	0.3422
CVCL_0026	CVCL_5101	0.3640
CVCL_0027	CVCL_0025	0.2921
CVCL_0027	CVCL_0326	0.3520
CVCL_0027	CVCL_0336	0.2685
CVCL_0027	CVCL_0364	0.3020
CVCL_0027	CVCL_1096	0.2863
CVCL_0027	CVCL_1382	0.4110
CVCL_0027	CVCL_2805	0.2460
CVCL_0027	CVCL_2908	0.3281
CVCL_0027	CVCL_2956	0.3168
CVCL_0027	CVCL_3840	0.3881
CVCL_0027	CVCL_4381	0.3337
CVCL_0028	CVCL_1094	0.2543
CVCL_0028	CVCL_1301	0.2533
CVCL_0028	CVCL_1406	0.2526
CVCL_0028	CVCL_3612	0.2564
CVCL_0028	CVCL_4656	0.2686
CVCL_0028	CVCL_8001	0.2340
CVCL_0028	CVCL_8002	0.2213
CVCL_0028	CVCL_8007	0.2713
CVCL_0028	CVCL_M156	0.2397
CVCL_0028	CVCL_U757	0.2401
CVCL_0028	CVCL_WS70	0.2665
CVCL_0029	CVCL_0465	0.4878
CVCL_0029	CVCL_1191	0.4702
CVCL_0029	CVCL_1345	0.4488
CVCL_0029	CVCL_1662	0.4297
CVCL_0029	CVCL_1707	0.5202
CVCL_0029	CVCL_1882	0.5198
CVCL_0029	CVCL_3114	0.5230
CVCL_0029	CVCL_3116	0.4720
CVCL_0029	CVCL_4658	0.4811
CVCL_0029	CVCL_5007	0.4928
CVCL_0029	CVCL_DH06	0.5142
CVCL_0030	CVCL_0459	0.5295
CVCL_0030	CVCL_1067	0.5871
CVCL_0030	CVCL_1195	0.5814
CVCL_0030	CVCL_1537	0.5710
CVCL_0030	CVCL_1546	0.5673
CVCL_0030	CVCL_2057	0.5323
CVCL_0030	CVCL_2193	0.4755
CVCL_0030	CVCL_2214	0.5859
CVCL_0030	CVCL_2793	0.5497
CVCL_0030	CVCL_4996	0.5426
CVCL_0030	CVCL_5136	0.5957
CVCL_0031	CVCL_0033	0.2162
CVCL_0031	CVCL_0179	0.2328
CVCL_0031	CVCL_1115	0.2072
CVCL_0031	CVCL_1251	0.2372
CVCL_0031	CVCL_1254	0.2659
CVCL_0031	CVCL_1263	0.2102
CVCL_0031	CVCL_1400	0.2589
CVCL_0031	CVCL_1661	0.1671
CVCL_0031	CVCL_1782	0.2040
CVCL_0031	CVCL_1812	0.2462
CVCL_0031	CVCL_2094	0.1643
CVCL_0032	CVCL_0401	0.4759
CVCL_0032	CVCL_0497	0.4984
CVCL_0032	CVCL_1233	0.4934
CVCL_0032	CVCL_1475	0.4119
CVCL_0032	CVCL_1509	0.4466
CVCL_0032	CVCL_1571	0.4373
CVCL_0032	CVCL_1656	0.4931
CVCL_0032	CVCL_1691	0.5000
CVCL_0032	CVCL_1722	0.5076
CVCL_0032	CVCL_3956	0.4796
CVCL_0032	CVCL_8585	0.5028
CVCL_0033	CVCL_0031	0.2162
CVCL_0033	CVCL_0179	0.2036
CVCL_0033	CVCL_1074	0.1318
CVCL_0033	CVCL_1115	0.2307
CVCL_0033	CVCL_1263	0.1466
CVCL_0033	CVCL_1661	0.1778
CVCL_0033	CVCL_1782	0.1816
CVCL_0033	CVCL_1812	0.2429
CVCL_0033	CVCL_2062	0.2273
CVCL_0033	CVCL_2094	0.2102
CVCL_0033	CVCL_2319	0.2670
CVCL_0036	CVCL_0626	0.4350
CVCL_0036	CVCL_1259	0.3832
CVCL_0036	CVCL_1300	0.4327
CVCL_0036	CVCL_1354	0.3932
CVCL_0036	CVCL_1670	0.3021
CVCL_0036	CVCL_1728	0.3695
CVCL_0036	CVCL_1761	0.4283
CVCL_0036	CVCL_1808	0.4094
CVCL_0036	CVCL_2714	0.3991
CVCL_0036	CVCL_2743	0.4270
CVCL_0036	CVCL_B260	0.3989
CVCL_0037	CVCL_1107	0.2970
CVCL_0037	CVCL_1761	0.2804
CVCL_0037	CVCL_2457	0.2615
CVCL_0037	CVCL_2661	0.2647
CVCL_0037	CVCL_2678	0.2948
CVCL_0037	CVCL_2714	0.2205
CVCL_0037	CVCL_2750	0.2420
CVCL_0037	CVCL_2807	0.2837
CVCL_0037	CVCL_2943	0.1863
CVCL_0037	CVCL_5594	0.2867
CVCL_0037	CVCL_M261	0.2549
CVCL_0039	CVCL_0527	0.1678
CVCL_0039	CVCL_0550	0.1990
CVCL_0039	CVCL_1057	0.2029
CVCL_0039	CVCL_1135	0.1811
CVCL_0039	CVCL_1303	0.1956
CVCL_0039	CVCL_1307	0.1941
CVCL_0039	CVCL_1402	0.1656
CVCL_0039	CVCL_1672	0.1804
CVCL_0039	CVCL_3962	0.1791
CVCL_0039	CVCL_6805	0.1437
CVCL_0039	CVCL_6809	0.1853
CVCL_0040	CVCL_0550	0.1949
CVCL_0040	CVCL_0599	0.2053
CVCL_0040	CVCL_1036	0.2157
CVCL_0040	CVCL_1057	0.2186
CVCL_0040	CVCL_1097	0.2138
CVCL_0040	CVCL_1135	0.1542
CVCL_0040	CVCL_1672	0.2229
CVCL_0040	CVCL_1780	0.2104
CVCL_0040	CVCL_1997	0.2247
CVCL_0040	CVCL_2765	0.2144
CVCL_0040	CVCL_6805	0.2099
CVCL_0041	CVCL_1161	0.5280
CVCL_0041	CVCL_1649	0.3965
CVCL_0041	CVCL_2176	0.3501
CVCL_0041	CVCL_8752	0.4390
CVCL_0041	CVCL_A667	0.3915
CVCL_0041	CVCL_A770	0.3452
CVCL_0041	CVCL_B255	0.5211
CVCL_0041	CVCL_M599	0.4126
CVCL_0041	CVCL_N820	0.4726
CVCL_0041	CVCL_V415	0.5099
CVCL_0041	CVCL_VU81	0.4311
CVCL_0042	CVCL_0317	0.5581
CVCL_0042	CVCL_1174	0.5663
CVCL_0042	CVCL_1350	0.4948
CVCL_0042	CVCL_1629	0.5775
CVCL_0042	CVCL_1656	0.5863
CVCL_0042	CVCL_1688	0.5833
CVCL_0042	CVCL_1798	0.5801
CVCL_0042	CVCL_1R17	0.5642
CVCL_0042	CVCL_4644	0.5747
CVCL_0042	CVCL_4W66	0.5412
CVCL_0042	CVCL_V618	0.5750
CVCL_0060	CVCL_0205	0.3525
CVCL_0060	CVCL_0542	0.3930
CVCL_0060	CVCL_1055	0.3586
CVCL_0060	CVCL_1174	0.3714
CVCL_0060	CVCL_1301	0.3976
CVCL_0060	CVCL_1338	0.3733
CVCL_0060	CVCL_1490	0.3345
CVCL_0060	CVCL_1547	0.3545
CVCL_0060	CVCL_1577	0.3765
CVCL_0060	CVCL_1595	0.3506
CVCL_0060	CVCL_5157	0.3562
CVCL_0062	CVCL_0250	0.5289
CVCL_0062	CVCL_0359	0.4622
CVCL_0062	CVCL_0366	0.5040
CVCL_0062	CVCL_0401	0.4803
CVCL_0062	CVCL_0554	0.5187
CVCL_0062	CVCL_1092	0.5303
CVCL_0062	CVCL_1286	0.5332
CVCL_0062	CVCL_1465	0.5225
CVCL_0062	CVCL_1499	0.5303
CVCL_0062	CVCL_1731	0.5181
CVCL_0062	CVCL_5135	0.4750
CVCL_0064	CVCL_0258	0.0864
CVCL_0064	CVCL_0614	0.1001
CVCL_0064	CVCL_1071	0.0959
CVCL_0064	CVCL_1425	0.1167
CVCL_0064	CVCL_1619	0.0866
CVCL_0064	CVCL_1620	0.1103
CVCL_0064	CVCL_1632	0.1274
CVCL_0064	CVCL_2071	0.1238
CVCL_0064	CVCL_2119	0.0878
CVCL_0064	CVCL_2122	0.0915
CVCL_0064	CVCL_2196	0.1155
CVCL_0065	CVCL_0092	0.2136
CVCL_0065	CVCL_0624	0.1641
CVCL_0065	CVCL_1126	0.1613
CVCL_0065	CVCL_1422	0.1806
CVCL_0065	CVCL_1630	0.1933
CVCL_0065	CVCL_1667	0.1500
CVCL_0065	CVCL_1736	0.1905
CVCL_0065	CVCL_1805	0.2117
CVCL_0065	CVCL_1820	0.2098
CVCL_0065	CVCL_1913	0.1994
CVCL_0065	CVCL_2022	0.2112
CVCL_0067	CVCL_0511	0.0800
CVCL_0067	CVCL_0539	0.0763
CVCL_0067	CVCL_1087	0.0747
CVCL_0067	CVCL_1101	0.0794
CVCL_0067	CVCL_1179	0.0660
CVCL_0067	CVCL_1222	0.0751
CVCL_0067	CVCL_1861	0.0880
CVCL_0067	CVCL_1877	0.0688
CVCL_0067	CVCL_1881	0.0828
CVCL_0067	CVCL_2027	0.0750
CVCL_0067	CVCL_3611	0.0842
CVCL_0068	CVCL_0527	0.3149
CVCL_0068	CVCL_0600	0.3168
CVCL_0068	CVCL_1036	0.3311
CVCL_0068	CVCL_1133	0.2694
CVCL_0068	CVCL_1303	0.2897
CVCL_0068	CVCL_1403	0.2695
CVCL_0068	CVCL_1672	0.3327
CVCL_0068	CVCL_1779	0.2557
CVCL_0068	CVCL_2075	0.3057
CVCL_0068	CVCL_6805	0.3304
CVCL_0068	CVCL_8784	0.3043
CVCL_0069	CVCL_0318	0.3099
CVCL_0069	CVCL_0527	0.2964
CVCL_0069	CVCL_1057	0.3190
CVCL_0069	CVCL_1059	0.3491
CVCL_0069	CVCL_1135	0.3505
CVCL_0069	CVCL_1303	0.3444
CVCL_0069	CVCL_1438	0.3452
CVCL_0069	CVCL_1780	0.3593
CVCL_0069	CVCL_2609	0.3587
CVCL_0069	CVCL_6025	0.3462
CVCL_0069	CVCL_6805	0.3222
CVCL_0076	CVCL_0545	0.1817
CVCL_0076	CVCL_0555	0.1876
CVCL_0076	CVCL_0632	0.2100
CVCL_0076	CVCL_1382	0.1994
CVCL_0076	CVCL_1708	0.1888
CVCL_0076	CVCL_1718	0.1932
CVCL_0076	CVCL_1980	0.1960
CVCL_0076	CVCL_2873	0.1815
CVCL_0076	CVCL_2917	0.1901
CVCL_0076	CVCL_5044	0.1599
CVCL_0076	CVCL_8877	0.1767
CVCL_0077	CVCL_0134	0.2932
CVCL_0077	CVCL_0270	0.3131
CVCL_0077	CVCL_0542	0.3240
CVCL_0077	CVCL_1301	0.3207
CVCL_0077	CVCL_1755	0.3239
CVCL_0077	CVCL_2010	0.3236
CVCL_0077	CVCL_3612	0.3236
CVCL_0077	CVCL_5157	0.3213
CVCL_0077	CVCL_8002	0.3214
CVCL_0077	CVCL_8005	0.3036
CVCL_0077	CVCL_WS70	0.3253
CVCL_0078	CVCL_0555	0.3242
CVCL_0078	CVCL_0632	0.3054
CVCL_0078	CVCL_1096	0.3017
CVCL_0078	CVCL_1382	0.3078
CVCL_0078	CVCL_1846	0.3005
CVCL_0078	CVCL_2520	0.3236
CVCL_0078	CVCL_3084	0.3234
CVCL_0078	CVCL_5038	0.2980
CVCL_0078	CVCL_5044	0.3182
CVCL_0078	CVCL_8877	0.3067
CVCL_0078	CVCL_9980	0.3091
CVCL_0080	CVCL_0530	0.3327
CVCL_0080	CVCL_0627	0.2126
CVCL_0080	CVCL_0631	0.2865
CVCL_0080	CVCL_0B50	0.3211
CVCL_0080	CVCL_2169	0.2552
CVCL_0080	CVCL_6583	0.2963
CVCL_0080	CVCL_7151	0.2811
CVCL_0080	CVCL_M150	0.3145
CVCL_0080	CVCL_M151	0.3056
CVCL_0080	CVCL_M153	0.3258
CVCL_0080	CVCL_S740	0.2572
CVCL_0089	CVCL_0091	0.1029
CVCL_0089	CVCL_0092	0.0728
CVCL_0089	CVCL_0095	0.1077
CVCL_0089	CVCL_0103	0.0803
CVCL_0089	CVCL_1409	0.0636
CVCL_0089	CVCL_1410	0.0744
CVCL_0089	CVCL_1650	0.1115
CVCL_0089	CVCL_1835	0.0527
CVCL_0089	CVCL_1866	0.0789
CVCL_0089	CVCL_1873	0.0672
CVCL_0089	CVCL_1878	0.1010
CVCL_0090	CVCL_0871	0.5391
CVCL_0090	CVCL_1312	0.5736
CVCL_0090	CVCL_1547	0.5702
CVCL_0090	CVCL_1577	0.5459
CVCL_0090	CVCL_2584	0.5147
CVCL_0090	CVCL_2585	0.5717
CVCL_0090	CVCL_2591	0.5778
CVCL_0090	CVCL_2594	0.5766
CVCL_0090	CVCL_2596	0.5180
CVCL_0090	CVCL_B255	0.5391
CVCL_0090	CVCL_N588	0.5471
CVCL_0091	CVCL_0089	0.1029
CVCL_0091	CVCL_0092	0.1359
CVCL_0091	CVCL_0095	0.1430
CVCL_0091	CVCL_0103	0.1140
CVCL_0091	CVCL_0590	0.1024
CVCL_0091	CVCL_1409	0.0980
CVCL_0091	CVCL_1410	0.1147
CVCL_0091	CVCL_1835	0.0959
CVCL_0091	CVCL_1866	0.1279
CVCL_0091	CVCL_1873	0.0971
CVCL_0091	CVCL_1878	0.1337
CVCL_0092	CVCL_0089	0.0728
CVCL_0092	CVCL_0103	0.1094
CVCL_0092	CVCL_0624	0.1236
CVCL_0092	CVCL_1409	0.0870
CVCL_0092	CVCL_1410	0.0952
CVCL_0092	CVCL_1820	0.1150
CVCL_0092	CVCL_1835	0.0704
CVCL_0092	CVCL_1866	0.1219
CVCL_0092	CVCL_1873	0.0819
CVCL_0092	CVCL_1878	0.1288
CVCL_0092	CVCL_8227	0.1270
CVCL_0093	CVCL_0089	0.2472
CVCL_0093	CVCL_0092	0.2879
CVCL_0093	CVCL_0095	0.2922
CVCL_0093	CVCL_0103	0.2706
CVCL_0093	CVCL_1071	0.2847
CVCL_0093	CVCL_1409	0.2644
CVCL_0093	CVCL_1410	0.2539
CVCL_0093	CVCL_1835	0.2362
CVCL_0093	CVCL_1866	0.2716
CVCL_0093	CVCL_1873	0.2494
CVCL_0093	CVCL_8227	0.2959
CVCL_0095	CVCL_0089	0.1077
CVCL_0095	CVCL_0103	0.1006
CVCL_0095	CVCL_0614	0.1341
CVCL_0095	CVCL_1409	0.0941
CVCL_0095	CVCL_1410	0.0921
CVCL_0095	CVCL_1424	0.1214
CVCL_0095	CVCL_1632	0.1267
CVCL_0095	CVCL_1835	0.0910
CVCL_0095	CVCL_1866	0.1097
CVCL_0095	CVCL_1873	0.0947
CVCL_0095	CVCL_S906	0.0867
CVCL_0098	CVCL_0064	0.1670
CVCL_0098	CVCL_0258	0.1862
CVCL_0098	CVCL_0614	0.1725
CVCL_0098	CVCL_1071	0.1743
CVCL_0098	CVCL_1425	0.1941
CVCL_0098	CVCL_1619	0.1969
CVCL_0098	CVCL_1620	0.1646
CVCL_0098	CVCL_2071	0.1975
CVCL_0098	CVCL_2119	0.1959
CVCL_0098	CVCL_2122	0.1627
CVCL_0098	CVCL_2196	0.1814
CVCL_0099	CVCL_0028	0.5019
CVCL_0099	CVCL_1221	0.5667
CVCL_0099	CVCL_1404	0.4910
CVCL_0099	CVCL_2928	0.5300
CVCL_0099	CVCL_2931	0.5662
CVCL_0099	CVCL_2949	0.5449
CVCL_0099	CVCL_5112	0.5600
CVCL_0099	CVCL_8002	0.5245
CVCL_0099	CVCL_8007	0.5462
CVCL_0099	CVCL_U757	0.5573
CVCL_0099	CVCL_WS70	0.5137
CVCL_0101	CVCL_0371	0.1730
CVCL_0101	CVCL_0555	0.1883
CVCL_0101	CVCL_0626	0.1750
CVCL_0101	CVCL_1385	0.1902
CVCL_0101	CVCL_1386	0.1894
CVCL_0101	CVCL_1708	0.1886
CVCL_0101	CVCL_1980	0.1692
CVCL_0101	CVCL_3084	0.1885
CVCL_0101	CVCL_5044	0.1926
CVCL_0101	CVCL_5086	0.1953
CVCL_0101	CVCL_8877	0.1791
CVCL_0102	CVCL_0248	0.3735
CVCL_0102	CVCL_0291	0.4216
CVCL_0102	CVCL_0292	0.3249
CVCL_0102	CVCL_0397	0.4318
CVCL_0102	CVCL_1385	0.4135
CVCL_0102	CVCL_1725	0.4331
CVCL_0102	CVCL_1768	0.3958
CVCL_0102	CVCL_1845	0.4438
CVCL_0102	CVCL_1980	0.4258
CVCL_0102	CVCL_5112	0.3873
CVCL_0102	CVCL_8877	0.4454
CVCL_0103	CVCL_0089	0.0803
CVCL_0103	CVCL_0091	0.1140
CVCL_0103	CVCL_0092	0.1094
CVCL_0103	CVCL_0095	0.1006
CVCL_0103	CVCL_1179	0.1223
CVCL_0103	CVCL_1409	0.0708
CVCL_0103	CVCL_1410	0.0690
CVCL_0103	CVCL_1424	0.1202
CVCL_0103	CVCL_1835	0.0678
CVCL_0103	CVCL_1866	0.0925
CVCL_0103	CVCL_1873	0.0742
CVCL_0105	CVCL_0023	0.5625
CVCL_0105	CVCL_0525	0.6244
CVCL_0105	CVCL_1285	0.6267
CVCL_0105	CVCL_1495	0.6035
CVCL_0105	CVCL_1514	0.6166
CVCL_0105	CVCL_1559	0.5762
CVCL_0105	CVCL_1616	0.5878
CVCL_0105	CVCL_1618	0.5200
CVCL_0105	CVCL_2186	0.5792
CVCL_0105	CVCL_5134	0.5790
CVCL_0105	CVCL_V613	0.5610
CVCL_0107	CVCL_0566	0.2609
CVCL_0107	CVCL_1087	0.3007
CVCL_0107	CVCL_1334	0.2985
CVCL_0107	CVCL_1823	0.2981
CVCL_0107	CVCL_2981	0.2752
CVCL_0107	CVCL_2991	0.3026
CVCL_0107	CVCL_2992	0.2677
CVCL_0107	CVCL_2993	0.2981
CVCL_0107	CVCL_5209	0.2839
CVCL_0107	CVCL_5210	0.2865
CVCL_0107	CVCL_E333	0.2883
CVCL_0126	CVCL_0186	0.4307
CVCL_0126	CVCL_1049	0.3654
CVCL_0126	CVCL_1114	0.4471
CVCL_0126	CVCL_1197	0.4164
CVCL_0126	CVCL_1288	0.4123
CVCL_0126	CVCL_1611	0.4557
CVCL_0126	CVCL_1635	0.3871
CVCL_0126	CVCL_2680	0.4378
CVCL_0126	CVCL_2681	0.4124
CVCL_0126	CVCL_2743	0.4351
CVCL_0126	CVCL_3599	0.4395
CVCL_0131	CVCL_0844	0.3759
CVCL_0131	CVCL_1169	0.4036
CVCL_0131	CVCL_1173	0.3923
CVCL_0131	CVCL_1690	0.4005
CVCL_0131	CVCL_1691	0.3601
CVCL_0131	CVCL_1706	0.4132
CVCL_0131	CVCL_2799	0.3271
CVCL_0131	CVCL_3955	0.3709
CVCL_0131	CVCL_3956	0.3887
CVCL_0131	CVCL_5010	0.3498
CVCL_0131	CVCL_5033	0.3891
CVCL_0132	CVCL_0318	0.2642
CVCL_0132	CVCL_0331	0.3416
CVCL_0132	CVCL_0527	0.3296
CVCL_0132	CVCL_1040	0.2635
CVCL_0132	CVCL_1057	0.3130
CVCL_0132	CVCL_1059	0.3060
CVCL_0132	CVCL_1403	0.3560
CVCL_0132	CVCL_1997	0.3268
CVCL_0132	CVCL_3962	0.3460
CVCL_0132	CVCL_6805	0.3476
CVCL_0132	CVCL_A341	0.3576
CVCL_0134	CVCL_1301	0.1786
CVCL_0134	CVCL_1755	0.1645
CVCL_0134	CVCL_2010	0.1854
CVCL_0134	CVCL_3612	0.1947
CVCL_0134	CVCL_7051	0.1982
CVCL_0134	CVCL_8001	0.1822
CVCL_0134	CVCL_8002	0.1826
CVCL_0134	CVCL_8005	0.1802
CVCL_0134	CVCL_8007	0.1731
CVCL_0134	CVCL_U757	0.1860
CVCL_0134	CVCL_WS70	0.1964
CVCL_0139	CVCL_0101	0.2848
CVCL_0139	CVCL_0555	0.2832
CVCL_0139	CVCL_1382	0.2943
CVCL_0139	CVCL_1385	0.2533
CVCL_0139	CVCL_1386	0.2662
CVCL_0139	CVCL_1708	0.2861
CVCL_0139	CVCL_1980	0.2684
CVCL_0139	CVCL_2873	0.2731
CVCL_0139	CVCL_3385	0.2862
CVCL_0139	CVCL_5044	0.2688
CVCL_0139	CVCL_8877	0.2441
CVCL_0152	CVCL_0545	0.3747
CVCL_0152	CVCL_1564	0.1310
CVCL_0152	CVCL_1708	0.3709
CVCL_0152	CVCL_1980	0.3805
CVCL_0152	CVCL_1982	0.3804
CVCL_0152	CVCL_3082	0.3826
CVCL_0152	CVCL_5044	0.3682
CVCL_0152	CVCL_5086	0.3468
CVCL_0152	CVCL_5098	0.2775
CVCL_0152	CVCL_8877	0.3738
CVCL_0152	CVCL_A351	0.1849
CVCL_0153	CVCL_0707	0.2405
CVCL_0153	CVCL_0819	0.2746
CVCL_0153	CVCL_0846	0.2901
CVCL_0153	CVCL_0878	0.2500
CVCL_0153	CVCL_0882	0.2924
CVCL_0153	CVCL_0888	0.2567
CVCL_0153	CVCL_0928	0.2711
CVCL_0153	CVCL_0933	0.2552
CVCL_0153	CVCL_1232	0.2542
CVCL_0153	CVCL_2182	0.2802
CVCL_0153	CVCL_5069	0.2775
CVCL_0178	CVCL_0033	0.5053
CVCL_0178	CVCL_0419	0.4534
CVCL_0178	CVCL_0505	0.4812
CVCL_0178	CVCL_1105	0.5010
CVCL_0178	CVCL_1259	0.4536
CVCL_0178	CVCL_1476	0.4754
CVCL_0178	CVCL_1483	0.5066
CVCL_0178	CVCL_1532	0.4934
CVCL_0178	CVCL_2062	0.4771
CVCL_0178	CVCL_3158	0.4249
CVCL_0178	CVCL_B260	0.4495
CVCL_0179	CVCL_0031	0.2328
CVCL_0179	CVCL_0033	0.2036
CVCL_0179	CVCL_1115	0.1659
CVCL_0179	CVCL_1251	0.2322
CVCL_0179	CVCL_1263	0.1938
