DB00001	DB01381	Additive anticoagulant/antiplatelet effects may increase bleed risk. Concomitant therapy should be avoided.
DB00001	DB00374	The prostacyclin analogue, Treprostinil, increases the risk of bleeding when combined with the anticoagulant, Lepirudin. Monitor for increased bleeding during concomitant thearpy.
DB00004	DB06372	decreases effects of toxoids by pharmacodynamic antagonism.
DB00004	DB00072	Trastuzumab may increase the risk of neutropenia and anemia. Monitor closely for signs and symptoms of adverse events.
DB00005	DB01281	Avoid combination because of increased adverse effects of Abatacept.
DB00005	DB00026	Avoid combination due to increased adverse effects of anakinra and increased risk of infections.
DB00005	DB08879	Avoid combination because of enhanced adverse effects of belimumab.
DB00005	DB08879	Avoid combination due to enhanced toxic effects of belimumab.
DB00005	DB06168	Combination should be avoided because Etanercept increase the toxic effects of canakinumab including neutropenia.
DB00005	DB08904	Avoid combination as certolizumab pegol toxic effects would be enhanced.
DB00005	DB00531	Avoid combination due to enhanced adverse effects of cyclophosphasmide and increased risk of solid cancer development.
DB00005	DB06643	Monitor therapy as there may be an enhanced immunosuppressive effect.
DB00005	DB00065	Avoid combination because etanercept may increase immunosuppressive effects of infliximab.
DB00005	DB01097	Consider modifying therapy due to enhanced adverse effects of leflunomide including hematologic toxicity.
DB00005	DB00108	Avoid combination due to enhanced adverse effects of natalizumab and increased risk of infections.
DB00005	DB00337	Avoid combination due to enhanced immunosuppressive effects.
DB00005	DB06372	results in increased immunosuppressive effects; increases the risk of infection.
DB00005	DB01656	Due to enhanced immunosuppressive effects, therapy modification should be considered.
DB00005	DB06688	Monitor therapy because of reduced therapeutic effect of sipuleucel-T.
DB00005	DB00864	Avoid combination due to enhanced immunosuppressive effects
DB00005	DB06273	Avoid combination due to enhanced immunosuppressive effects.
DB00005	DB08895	Etanercept increases the risk of added immunosuppression. It is recommended to avoid concurrent therapy.
DB00005	DB00072	Trastuzumab may increase the risk of neutropenia and anemia. Monitor closely for signs and symptoms of adverse events.
DB00006	DB01609	Anticoagulants increase the risk for gastrointestinal ulceration/irritation and/or GI bleeding. If these two agents must be used, patients need to be closely monitored for signs and symptoms of GI toxicity.
DB00006	DB00441	Gemcitabine may enhance the adverse/toxic effect of Bleomycin. The risk of pulmonary toxicity may be increased. Use extreme caution if using gemcitabine and bleomycin in combination. Monitor for the development of pulmonary toxicity.
DB00006	DB01381	Additive anticoagulant/antiplatelet effects may increase bleed risk. Concomitant therapy should be avoided.
DB00006	DB06228	Anticoagulants may enhance the anticoagulant effect of rivaroxaban. Avoid concurrent use of rivaroxaban with other anticoagulants whenever possible, other than during transition periods, due to the possible increased for bleeding.
DB00006	DB00374	The prostacyclin analogue, Treprostinil, increases the risk of bleeding when combined with the anticoagulant, Bivalirudin. Monitor for increased bleeding during concomitant therapy.
DB00008	DB01223	Interferon increases the effect and toxicity of theophylline
DB00008	DB00651	Interferon increases the effect and toxicity of theophylline
DB00008	DB06414	Etravirine (a CYP2C9 substrate), when used concomitantly with peginterferon alfa-2a, may experience a decrease in serum concentration. It is recommended to monitor effectiveness of etravirine therapy.
DB00008	DB01303	Interferon increases the effect and toxicity of theophylline
DB00008	DB01265	Co-administration of Peginterferon alpha-2a and Telbivudine may increase the risk of serious peripheral neuropathy.
DB00008	DB00277	Interferon increases the effect and toxicity of theophylline
DB00009	DB01381	Additive anticoagulant/antiplatelet effects may increase bleed risk. Concomitant therapy should be avoided.
DB00009	DB00727	IV nitroglycerin may decrease the effect of alteplase.
DB00009	DB00208	Increased bleeding risk. Monitor for signs of bleeding.
DB00011	DB01223	Interferon increases the effect and toxicity of theophylline
DB00011	DB00651	Interferon increases the effect and toxicity of theophylline
DB00011	DB01303	Interferon increases the effect and toxicity of theophylline
DB00011	DB00277	Interferon increases the effect and toxicity of theophylline
DB00013	DB06692	Aprotonin may antagonize the effect of Urokinase. Monitor for decreased effects of Urokinase.
