0308 CELL	BTO:0006002
0308-GSC CELL	BTO:0006002
0822 CELL	BTO:0006003
1-LN CELL	BTO:0005352
10/9CRC1 CELL	BTO:0004581
10T1/2 CELL	BTO:0003166
11-9-1-4 CELL	BTO:0002603
1102 CELL	BTO:0002947
1182 CELL	BTO:0002964
1205 LU CELL	BTO:0005011
1205-LU CELL	BTO:0005011
1205LU CELL	BTO:0005011
1228 CELL	BTO:0006004
1228-GSC	BTO:0006004
1290-2 CELL	BTO:0002962
129S6 CELL	BTO:0004750
13-90 CELL	BTO:0005286
13-9B CELL	BTO:0006012
1321 N1 CELL	BTO:0003605
1321-N1 CELL	BTO:0003605
1321N1 CELL	BTO:0003605
1383 CELL	BTO:0002948
143B CELL	BTO:0003167
143BTK CELL	BTO:0003167
15PC3 CELL	BTO:0002220
16-HBE CELL	BTO:0005749
16-HBE14O CELL	BTO:0002734
16-HBE14O- CELL	BTO:0002734
16-HBEO CELL	BTO:0004394
164T2 CELL	BTO:0002972
1682-A CELL	BTO:0004320
1682A CELL	BTO:0004320
16HBE140 CELL	BTO:0002734
16HBE14O CELL	BTO:0002734
16HBE14O- CELL	BTO:0002734
16HBEO- CELL	BTO:0002734
1704 CELL	BTO:0002963
174XCEM.T2 CELL	BTO:0003771
184-B5 CELL	BTO:0002180
184A1N4 CELL	BTO:0002179
184B5 CELL	BTO:0002180
1BR3.G CELL	BTO:0004971
1C9 CELL	BTO:0004751
1F6 CELL	BTO:0002802
1HAEO CELL	BTO:0002636
1HAEO- CELL	BTO:0002636
1LN CELL	BTO:0005352
1RB3AN27 CELL	BTO:0002393
2-FTGH CELL	BTO:0005765
2008 CELL	BTO:0003792
2008C13 CELL	BTO:0003989
2102EP CELL	BTO:0005287
211H CELL	BTO:0002425
212LN CELL	BTO:0006085
22-RV1 CELL	BTO:0002999
222 CELL	BTO:0004035
22RV-1 CELL	BTO:0002999
22RV1 CELL	BTO:0002999
250 MK CELL	BTO:0006200
250MK CELL	BTO:0006200
253-J CELL	BTO:0004796
253J B-V CELL	BTO:0004894
253J CELL	BTO:0004796
253J LAVAL CELL	BTO:0004893
253J P CELL	BTO:0004796
253J-BV CELL	BTO:0004894
253J-P CELL	BTO:0005006
253J-PARENTAL CELL	BTO:0004796
253JP CELL	BTO:0004796
26-L5 CELL	BTO:0000103
267T2 CELL	BTO:0002973
29-13 CELL	BTO:0004635
293 CELL	BTO:0000007
293 EBNA CELL	BTO:0002974
293 T CELL	BTO:0002181
293-B2 CELL	BTO:0003468
293-CD40 CELL	BTO:0003466
293-EBNA CELL	BTO:0002974
293-F CELL	BTO:0003032
293-F FREESTYLE CELL	BTO:0005267
293-FT CELL	BTO:0005029
293-H CELL	BTO:0003033
293-IL-1RI CELL	BTO:0003465
293-T CELL	BTO:0002181
293-VNR CELL	BTO:0005839
293.CD40 CELL	BTO:0003466
293.IL-1RI CELL	BTO:0003465
293/EBNA CELL	BTO:0002974
